CLA_TRAB	CLA_PERDED	FOL_AUTO	CLA_EMPRESA	CLA_CENTRO_COSTO	CLA_PUESTO	CLA_UBICACION	CLA_DEPTO	CLA_TURNO	TIPO_MOV	MONTO	MONTO_TOPE	FECHA_TOPE	ACUM	FECHA_NOMINA	TIPO_NOMINA	FECHA_ULT_CAMBIO	FECHA_APLICA	FECHA_MOV	ORIGEN_MOV	REFERENCIA	CLA_USUARIO
1259	101	192594510	4	8	2000	1	28	4	1	1522.28	1522.28	NULL	0	NULL	NULL	2017-05-15 12:46:00	2017-05-18 00:00:00	2017-05-18 00:00:00	13		NULL	1
1259	421	192777755	4	5	2000	1	28	1	1	80	80	NULL	0	NULL	NULL	2017-05-16 16:47:00	2017-05-18 00:00:00	2017-05-18 00:00:00	13		NULL	1
2137	101	192594511	4	6	1139	1	25	1	1	6183.9	6183.9	NULL	0	NULL	NULL	2017-05-15 12:46:00	2017-05-18 00:00:00	2017-05-18 00:00:00	13	Reajuste semanal	NULL	1
2138	101	192594512	4	8	2000	1	99	4	1	546.82	546.82	NULL	0	NULL	NULL	2017-05-15 12:46:00	2017-05-18 00:00:00	2017-05-18 00:00:00	13		NULL	1
