CLA_PERDED	CLA_EMPRESA	CLA_GPO_EXPERDED	NOM_PERDED	TIPO_PERDED	STATUS	CLASIFICACION	FORMULA	EXENCION	TOPE_EXEN	TOPE	EXEN_IMSS	APLICA	ESBASE_IMSS	ESBASE_NOMINA	ESBASE_INFON	ESBASE_PTU	TRATA_FISCAL	NOM_NOR	NOM_AGUI	NOM_PTU	NOM_FIN	NOM_ESP	NOM_VAC	ALTERNAR	FORMULA_SQL	EXENCION_SQL	TOPE_EXEN_SQL	TOPE_SQL	EXEN_IMSS_SQL	ORDEN	APLICA_TODO_PUE	APLICA_TODA_UBI	APLICA_TODO_PER	IMPRIME_UNIDAD	TEXTO_UNIDAD	PERMITE_NEGATIVOS	PERMITE_CEROS	AVANZADO_WHERE_SQL	ES_EXTERNO	FUENTE_EXTERNA	TRUNCAR	REDONDEO	DECIMALES	NO_IMPRIMIR	NO_AFECTAR_NETO	GRUPO_CAL1	GRUPO_CAL2	GRUPO_CAL3	GRUPO_CAL4	ES_NETO	FECHA_ULT_CAMBIO	LLEVA_HISTO	ESBASE_ISPT	CLA_PERDED_ACUM	ES_BASE_FAHORRO	DETALLAR_PERDED	MOSTRAR_SALDO	LLEVA_ACUM	NOM_CORTO	ESBASE_IMSS_FIJO	DIAS_FIJO	EVA_MASIVA	ES_PROVISION	CLASIF_DEC_SUELDOS	PREVISION_SOCIAL	CLA_GPO_EXCLUSION	TOPE_EXCLUSION	TOPE_EXCLUSION_SQL	EXCLUSION_SQL	EXCLUSION	SALDAR_EN_FIQ	FOR_MONTO	FOR_MONTO_SQL	CALC_ISR_PARCIAL	APLICA_RETROACTIVO	CLA_PERDED_RETROACTIVO	WHERE_SQL_RETRO	FORMULA_SQL_RETRO	TOPE_SQL_RETRO	TIPO_CALC_RETRO	CLA_PERDED_RETRO_NEG	REDONDEO_MONTO	DECIMALES_MONTO	PORC_INCREM_PROMO	NO_APLICAR_PROYECCION	APLICA_SALDO_VALES	CEILING	TIPO_PERDED_FORTIA	TIPO_PERDED_SAT	CONSERVAR_MOV	DEDUCCION_GRAVADA	EN_ESPECIE	CLA_METODO_PAGO	TIPO_HORA_EXTRA_SAT	TIPO_OTRO_PAGO_SAT	ORIGEN_RECURSO_SAT
81	4	0	PRIMA POR ANTIGUEDAD          	10	A	6	1	#EXENINDEM				I	0	0	0	0	5	0	0	0	1	0	0	0	1	"dbo.spf_ExenIndem(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 90)"				81	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 20:49	1	1	0	0	0	0	0	PRIMA	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	22	0	0	0	2	NULL	NULL	1
82	4	0	3 MESES                       	10	A	4	SUEINTSTOP	#EXENINDEM				I	0	0	0	0	5	0	0	0	1	0	0	0	t3.SUE_INT_STOP	"dbo.spf_ExenIndem(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 90)"				82	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/11/2013 12:01	1	1	0	0	0	0	0	3 MES	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	20	0	NULL	NULL	NULL	NULL	NULL	NULL
83	4	0	AGUINALDO FINIQUITO           	10	A	3	1	#EXENAGUI	30 * SAL_MIN			I	0	0	0	0	1	0	0	0	1	0	0	0	1	"dbo.spf_ExenAguinaldo(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 30)"	30*t2.SAL_MIN_ZONA			83	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 20:41	1	1	0	0	0	0	0	AGUIN	0	0	1	0	2	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	2	0	0	0	2	NULL	NULL	1
84	4	0	VACACIONES FINIQUITO          	10	A	8	1					I	0	0	0	0	1	0	0	0	1	0	0	0	1					84	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 20:40	1	1	0	0	0	0	0	VACAC	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	2	NULL	NULL	1
85	4	0	GASTOS FUNERARIOS F           	10	A	0	#PRIMAANF * SUE_DIA	IMP_MOV				T	0	0	0	0	1	0	0	0	1	0	0	0	*t2.SUE_DIA	t1.EVA_FOR_SQL				85	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/12/2014 21:22	1	0	0	0	0	0	0	GASTO	0	0	1	0	12	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	37	0	0	NULL	NULL	NULL	NULL	NULL
86	4	0	PRIMA VAC FINIQUITO           	10	A	12	1	#EXENPRIVA				I	0	0	0	0	1	0	0	0	1	0	0	0	1	"dbo.spf_ExenPrimaVac(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 15)"				86	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 20:40	1	1	0	0	0	0	0	PRIMA	0	0	1	0	5	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	21	0	0	0	2	NULL	NULL	1
87	4	0	FONDO DE AHORRO FINIQUITO     	10	A	7	1					I	0	0	0	0	1	0	0	0	1	0	0	0	1					87	0	1	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 20:51	1	0	0	0	0	0	0	FAF  	0	0	1	0	9	1	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	5	0	0	0	2	NULL	NULL	1
88	4	0	AYUDA GTO FUNER               	10	A	0	1					I	0	0	0	0	1	1	0	0	1	0	0	0	1					88	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/12/2014 09:23	1	1	0	0	0	0	0	AYGF 	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL
89	4	0	ESTIMULO JUB                  	10	A	0	1					I	0	0	0	0	1	0	0	0	1	0	0	0	1					1000	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 21:58	1	1	0	0	0	0	0	ESTJU	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	38	0	0	0	2	NULL	NULL	1
90	4	0	COMISION SINDICAL.            	10	A	0	1					I	1	0	0	0	1	1	0	0	1	0	0	0	1					50	0	0	0	0		0	0		0	NULL	0	0	0	1	1	0	0	100	0	0	23/11/2013 12:04	1	1	0	0	1	0	0	COMSD	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
