CLA_PERDED	CLA_EMPRESA	CLA_GPO_EXPERDED	NOM_PERDED	TIPO_PERDED	STATUS	CLASIFICACION	FORMULA	EXENCION	TOPE_EXEN	TOPE	EXEN_IMSS	APLICA	ESBASE_IMSS	ESBASE_NOMINA	ESBASE_INFON	ESBASE_PTU	TRATA_FISCAL	NOM_NOR	NOM_AGUI	NOM_PTU	NOM_FIN	NOM_ESP	NOM_VAC	ALTERNAR	FORMULA_SQL	EXENCION_SQL	TOPE_EXEN_SQL	TOPE_SQL	EXEN_IMSS_SQL	ORDEN	APLICA_TODO_PUE	APLICA_TODA_UBI	APLICA_TODO_PER	IMPRIME_UNIDAD	TEXTO_UNIDAD	PERMITE_NEGATIVOS	PERMITE_CEROS	AVANZADO_WHERE_SQL	ES_EXTERNO	FUENTE_EXTERNA	TRUNCAR	REDONDEO	DECIMALES	NO_IMPRIMIR	NO_AFECTAR_NETO	GRUPO_CAL1	GRUPO_CAL2	GRUPO_CAL3	GRUPO_CAL4	ES_NETO	FECHA_ULT_CAMBIO	LLEVA_HISTO	ESBASE_ISPT	CLA_PERDED_ACUM	ES_BASE_FAHORRO	DETALLAR_PERDED	MOSTRAR_SALDO	LLEVA_ACUM	NOM_CORTO	ESBASE_IMSS_FIJO	DIAS_FIJO	EVA_MASIVA	ES_PROVISION	CLASIF_DEC_SUELDOS	PREVISION_SOCIAL	CLA_GPO_EXCLUSION	TOPE_EXCLUSION	TOPE_EXCLUSION_SQL	EXCLUSION_SQL	EXCLUSION	SALDAR_EN_FIQ	FOR_MONTO	FOR_MONTO_SQL	CALC_ISR_PARCIAL	APLICA_RETROACTIVO	CLA_PERDED_RETROACTIVO	WHERE_SQL_RETRO	FORMULA_SQL_RETRO	TOPE_SQL_RETRO	TIPO_CALC_RETRO	CLA_PERDED_RETRO_NEG	REDONDEO_MONTO	DECIMALES_MONTO	PORC_INCREM_PROMO	NO_APLICAR_PROYECCION	APLICA_SALDO_VALES	CEILING	TIPO_PERDED_FORTIA	TIPO_PERDED_SAT	CONSERVAR_MOV	DEDUCCION_GRAVADA	EN_ESPECIE	CLA_METODO_PAGO	TIPO_HORA_EXTRA_SAT	TIPO_OTRO_PAGO_SAT	ORIGEN_RECURSO_SAT
102	4	0	JUBILACION UNICA              	10	A	0	1	IMP_MOV				I	0	0	0	0	4	0	0	0	1	1	0	0	1	t1.EVA_FOR_SQL				1	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	01/04/2017 21:59	1	1	0	0	1	0	1	JUUN 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	39	0	0	0	2	NULL	NULL	1
103	4	0	COMPENSACION                  	10	A	0	1					I	1	0	0	0	1	1	0	0	0	0	0	0	1					6	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:15	1	1	0	0	0	0	0	COM  	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
104	4	0	ISR AJUSTE MENSUAL            	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					9991	0	1	1	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	04/04/2017 20:14	1	0	0	0	0	0	0	AJUST	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
105	4	0	NACIMIENTO                    	10	A	0	1	IMP_MOV				I	0	0	0	0	1	1	0	0	0	0	0	0	1	t1.EVA_FOR_SQL				1	0	0	0	1	NACIM	0	0		0	NULL	0	0	0	0	0	0	0	100	0	0	31/03/2017 18:55	1	1	0	0	0	0	0	NACIM	0	0	1	0	28	1	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	38	0	0	0	3	NULL	NULL	1
106	4	0	DEVOLUCION F.A. EMPRESA       	10	A	51	1					I	0	0	0	0	1	0	0	0	0	1	0	0	1					10	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	02/07/2014 10:50	1	0	0	0	1	0	0	DEVFE	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
107	4	0	DEVOLUCION F.A. TRABAJADOR    	10	A	52	1					I	0	0	0	0	1	0	0	0	0	1	0	0	1					10	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	02/07/2014 10:54	1	0	0	0	0	0	0	DEVET	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
108	4	0	INTERES FDO AHORRO            	10	A	53	1					I	0	0	0	0	1	0	0	0	0	1	0	0	1					108	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	26/06/2015 13:14	1	0	0	0	0	0	0	INT F	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL
110	4	0	SUELDO NORMAL                 	10	A	0	#ACUM/MONTO_MOV					I	0	0	0	0	1	1	0	0	0	0	0	0	t1.acum/t1.MONTO					1	0	0	0	1		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:15	1	1	0	0	1	0	1	4SUEN	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
115	4	0	BECAS                         	10	A	0	1	IMP_MOV				I	0	0	0	0	1	0	0	0	0	1	0	0	1	t1.EVA_FOR_SQL				12	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	100	0	0	31/03/2017 22:14	1	1	0	0	0	0	0	DSVEC	0	0	1	0	26	1	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	15	0	0	0	3	NULL	NULL	1
116	4	0	PREMIO POR ASISTENCIA REPA    	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					1	0	0	1	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	02/11/2012 08:57	1	0	0	0	0	0	0	Premi	0	0	1	0	14	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
117	4	0	PREMIO POR PUNTUALIDAD REPA   	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					1	0	0	1	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	02/11/2012 08:59	1	0	0	0	0	0	0	PREMI	0	0	1	0	14	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
118	4	0	AJUSTE ISPT                   	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					50	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:33	1	0	0	0	0	0	0	a    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL
119	4	0	PERMISO CON SUELDO            	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					1	0	0	1	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/11/2013 12:08	1	0	0	0	0	0	0	Permi	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
121	4	0	PASAJES                       	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					20	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:35	1	0	0	0	0	0	0	p    	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
130	4	0	FALLECIMIENTO                 	10	A	0	1		NULL		NULL	I	0	0	0	0	1	1	0	0	0	0	0	0	1					30	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:37	1	0	0	0	0	0	0	f    	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	34	0	NULL	NULL	NULL	NULL	NULL	NULL
131	4	0	AYUDA POR DEFUNCION           	10	A	0	1	#EXENTO131				I	0	0	0	0	1	1	0	0	0	0	0	0	1	"dbo.ffn_EXE131 (t1.cla_empresa , t1.cla_trab , t1.cla_periodo ,t1.num_nomina)"				15	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	100	0	0	31/03/2017 18:57	1	1	0	0	0	0	0	DEFUN	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	38	NULL	0	0		NULL	NULL	0
154	4	0	PRESTAMO FONDO AHORRO EMP     	10	A	7	1	IMP_MOV				I	0	0	0	0	1	1	0	0	0	1	0	0	1	t1.EVA_FOR_SQL				20	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	26/02/2016 15:35	1	0	0	0	0	1	0	PFEM 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	14	0	NULL	NULL	NULL	NULL	NULL	NULL
155	4	0	PRESTAMO FONDO DE AHORRO TRAB 	10	A	7	1					I	0	0	0	0	1	1	0	0	0	1	0	0	1					12	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	26/02/2016 15:36	1	0	0	0	0	1	0	v    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	14	0	NULL	NULL	NULL	NULL	NULL	NULL
156	4	0	PRESTAMO                      	10	B	0	1					T	0	0	0	0	1	0	0	0	0	1	0	0	1					60	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	17/12/2013 17:10	1	0	0	0	0	0	0	PREST	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	14	NULL	NULL	NULL	NULL	NULL	NULL	NULL
177	4	0	SUBS. AL EMPLEO EFEC. PAG.    	10	A	11	CAS * -1	#EXENTO177				T	0	0	0	0	1	1	0	0	0	0	0	0	t2.CREDSAL_TRA*-1	"dbo.ffn_EXE177 (t1.cla_empresa , t1.cla_trab , t1.cla_periodo ,t1.num_nomina)"				99999	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	100	0	0	30/03/2017 22:17	1	0	0	0	0	0	0	SUBSE	0	0	1	0	40	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	3	NULL	2	1
199	4	0	CURSO DE CAPACITACION         	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					90	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:40	1	0	0	0	0	0	0	c    	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
400	4	0	DESC. POR PAGO DE MAS         	50	A	20	1		NULL		NULL	I	0	0	0	0	1	1	0	0	0	0	0	0	1					400	0	0	0	0		1	1		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:42	1	0	0	0	0	0	0	d    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	13	NULL	NULL	NULL	NULL	NULL	NULL	NULL
401	4	0	IMPTO A CARGO DECL            	50	A	0	1		NULL		NULL	I	0	0	0	0	1	1	0	0	1	0	0	0	1					121	0	0	0	0		1	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	21/01/2016 13:32	1	0	0	0	0	0	0	isptc	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
402	4	0	FONDO DE AHORRO EMPR          	50	A	20	@C5402 + @C6402		NULL		NULL	T	0	0	0	0	1	1	0	0	0	1	0	0	@C5402+@C6402					143	0	0	0	0		0	0	AND T3.APLICA_FA = 1	0	NULL	0	0	0	0	0	0	0	0	0	0	21/02/2013 17:02	1	0	0	0	0	0	0	F EMP	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
403	4	0	I. S. R.                      	50	A	21	ISPT+ ISPT86+ ISPTINDEM		NULL		NULL	T	0	0	0	0	1	1	1	1	1	0	1	0	t2.ISPT_TRA+t2.ISPT86+t2.ISPT_INDEM					120	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/05/2016 11:00	1	0	0	0	0	0	0	ISR  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	2	0	NULL	NULL	NULL	NULL	NULL	NULL
404	4	0	IMPTO A CARGO DECL            	50	A	0	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	0	0	0	1					999	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	19/12/2015 08:24	1	0	0	0	0	0	0	isptc	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	2	0	0	NULL	NULL	NULL	NULL	NULL
406	4	0	CUOTA I.M.S.S.                	50	A	24	#IMSSCIASA		NULL		NULL	T	0	0	0	0	1	1	0	0	0	1	1	0	"dbo.FFN_IMSS_INGENIOS (T2.CLA_EMPRESA, T2.CLA_PERIODO, T2.NUM_NOMINA,T2.CLA_TRAB , t2.IT_ENFEXCE ,t2.IT_ENFDINERO ,t2.IT_ENFPENSION,t2.IT_INVALIDEZ)"					130	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	100	0	0	17/08/2016 09:30	1	0	0	0	0	0	1	CUOIM	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL
407	4	0	CUOTA R.C.V.                  	50	A	24	#CESANTIA		NULL		NULL	T	0	0	0	0	0	1	0	0	0	1	0	0	"dbo.FFN_CESAN_INGENIOS (T2.CLA_EMPRESA, T2.CLA_PERIODO, T2.NUM_NOMINA,T2.CLA_TRAB ,T2.IT_CESANTIA  )"					130	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	17/08/2016 09:31	1	0	0	0	0	0	0	COUTA	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	1	2	0	0	0	0	NULL	3	0	NULL	NULL	NULL	NULL	NULL	NULL
408	4	0	FDO AHORRO TRABAJADOR         	50	A	20	@C5402 + @C6402		NULL		NULL	T	0	0	0	0	1	1	0	0	0	1	0	0	@C5402+@C6402					150	0	0	0	0		0	0	AND T3.APLICA_FA = 1	0	NULL	0	0	0	0	0	0	0	0	0	0	22/10/2012 18:04	1	0	0	0	0	0	0	FT   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
409	4	0	PMO. COMPAÑIA                 	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4090	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:45	1	0	0	0	0	0	0	p    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
410	4	0	SEGURO DE VEHICULO            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					60	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:46	1	0	0	0	0	0	0	S D V	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
411	4	0	REVISION SALARIA              	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					41	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:47	1	0	0	0	0	0	0	r    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL
412	4	0	DESCUENTO DE LENTES           	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	0	0	1					4695	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:49	1	0	0	0	0	0	0	d    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
413	4	0	GASTOS A COMPROB              	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	1	0	0	1	0	1					4659	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	17/07/2014 17:13	1	0	0	0	0	0	0	G A C	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
415	4	0	PENSION ALIMENTICIA           	50	A	23	#PENSALIM/100		NULL		NULL	I	0	0	0	0	1	1	0	0	1	1	0	0	"dbo.fn_Pension_zam( t1.CLA_EMPRESA, t1.CLA_TRAB, t1.NUM_NOMINA, t1.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO , t1.FOLIO_PENSION)/100"					160	0	1	1	0		1	1		0	NULL	0	0	0	0	0	0	0	100	0	0	26/05/2016 09:22	1	0	0	0	0	0	0	PALIM	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	7	0	NULL	NULL	NULL	NULL	NULL	NULL
416	4	0	DOTACION AZUCAR               	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	1	0	1	0	1					4160	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/03/2015 17:52	1	0	0	0	0	0	0	d    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
417	4	0	ARTICULO 134 LTF              	50	A	20	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					4170	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	24/10/2012 08:52	1	0	0	0	0	0	0	a    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
418	4	0	CUOTA IMSS                    	50	A	20	1					I	0	0	0	0	1	1	0	0	1	0	0	0	1					4180	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/12/2014 13:30	1	0	0	0	0	0	0	CI   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL
419	4	0	DESC POR PERDIDA              	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4121	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:52	1	0	0	0	0	0	0	SEG  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	15	0	0	0		NULL	NULL	0
420	4	0	DIA DE HABER                  	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4680	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	25/04/2014 18:07	1	0	0	0	1	0	0	DHAB 	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	0	4	NULL	0	NULL	NULL	NULL	NULL	NULL
421	4	0	SERVICIOS FUNERARIOS          	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4131	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/02/2016 12:51	1	0	0	0	0	0	0	C TEL	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
422	4	0	CUOTA IMSS                    	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	0	0	0	1					130	0	1	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	05/05/2014 17:47	1	0	0	0	0	0	0	d    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
423	4	0	CUOTA R.C.V.                  	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	0	0	0	1					130	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	05/05/2014 17:50	1	0	0	0	0	0	0	d    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	4	0	NULL	NULL	NULL	NULL	NULL	NULL
425	4	0	F O N A C O T                 	50	A	20	1					I	0	0	0	0	1	1	0	0	1	0	0	0	1					4120	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	12/04/2014 13:43	1	0	0	0	0	0	0	q    	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	11	0	0	NULL	NULL	NULL	NULL	NULL
426	4	0	DESPENSA SINDICATO            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					4681	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	09/12/2015 18:07	1	0	0	0	0	0	0	DS   	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
429	4	0	SEGURO DE VIDA                	50	A	20	1					I	0	0	0	0	1	0	0	0	0	1	0	0	1					8	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	24/12/2014 09:58	1	0	0	0	0	0	0	SEGVD	0	0	1	0	15	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
430	4	0	DESPENSA                      	50	A	20	1		NULL		NULL	I	0	0	0	0	1	1	0	0	0	0	0	0	1					100	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	07/11/2014 19:40	1	0	0	0	1	0	0	DESPE	0	0	1	0	11	1	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
431	4	0	GASTOS MEDICOS MAYORES        	50	A	20	1		NULL		NULL	I	0	0	0	0	0	1	0	0	0	0	0	0	1					8	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	29/12/2014 12:48	1	0	0	0	0	0	0	GTS  	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
432	4	0	PMO CAJA CONFIANZA            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	1	1	0	0	1	0	1					5119	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	24/06/2015 12:26	1	0	0	0	0	0	0	PCONF	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
433	4	0	PMO CAJA SECC 7               	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	1	1	0	1	1	0	1					5121	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	24/06/2015 12:26	1	0	0	0	0	0	0	PSECC	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
434	4	0	TRANSPORTE                    	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	1	0	0	1					8	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	31/12/2014 08:25	1	0	0	0	0	0	0	TRANS	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
435	4	0	DOTACION DE AZUCAR            	50	A	20	1		NULL		NULL	I	0	0	0	0	0	0	0	0	0	1	0	0	1					12	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	26/05/2015 08:32	1	0	0	0	0	0	0	DOTAZ	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
436	4	0	PRESTAMO SINDICATO            	50	A	0	1		NULL		NULL	I	0	0	0	0	0	0	1	1	0	0	1	0	1					5120	0	0	0	0		0	0	 	0	NULL	0	0	0	0	0	0	0	0	0	0	24/06/2015 12:26	1	0	0	0	0	0	0	PSIND	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL
456	4	0	CUOTA SINDICAL NACIONAL       	50	A	20	#BASECUOTA *($CUOTSINDN/100)		NULL		NULL	T	0	0	0	0	1	1	0	0	0	0	0	0	"dbo.fn_basecuota_sindical(t2.CLA_EMPRESA, t2.CLA_PERIODO,t2.NUM_NOMINA,t2.FOLIO_NOM,T2.CLA_TRAB) *($CUOTSINDN/100)"					160	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	100	0	0	16/04/2013 20:10	1	0	0	0	0	0	0	SINAC	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	19	0	NULL	NULL	NULL	NULL	NULL	NULL
459	4	0	CUOTA SINDICATO LOCAL         	50	A	20	(@C0001 + @C0002 + @C0009 + @C0017+ @C0043+@C0103+@C0013) * (  $CUOTSINDL   / 100)		NULL		NULL	T	0	0	0	0	1	1	0	0	0	0	0	0	(@C0001+@C0002+@C0009+@C0017+@C0043+@C0103+@C0013)*($CUOTSINDL/100)					170	0	0	0	0		1	0		0	NULL	0	0	0	0	0	0	0	100	0	0	16/04/2013 20:10	1	0	0	0	0	0	0	SILOC	0	0	1	0	0	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	19	0	NULL	NULL	NULL	NULL	NULL	NULL
